budgets,revenues
"
Production Co:
 Epic Productions, Sarliu/Diamant, Crackajack Productions 
See more »
      
","
Runtime:
90 min
"
"
Gross USA: $1,723,872
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $75,072,454, 6 November 2005
"
"
Gross USA: $41,833,347
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend: AUD 847,220
            (Australia),
31 December 1981, Limited Release
","
Gross USA: $12,465,371
        "
"
Opening Weekend USA: $10,675,896,
31 March 1985
","
Production Co:
 Warner Bros., The Ladd Company 
See more »
      
"
"
Opening Weekend USA: $116,677,
18 October 1987, Limited Release
","
Production Co:
 Filmhaus 
See more »
      
"
"
Gross USA: $12,000,000, 31 December 1966
","
  Show more on
  IMDbPro »
  "
"
Budget:$11,000,000
            (estimated)
","
Production Co:
 Columbia Pictures, Price Entertainment 
See more »
      
"
"
Budget:AUD 14,000,000
            (estimated)
","
Production Co:
 Screen Australia, Quickfire Films, Screen NSW 
See more »
      
"
"
Budget:$38,000,000
            (estimated)
","
Gross USA: $144,533,925, 4 November 2001
"
"
Opening Weekend USA: $6,731,940,
16 January 2000, Wide Release
","
Production Co:
 Hammerhead Productions, Metro-Goldwyn-Mayer (MGM), Screenland Pictures 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $47,212,904
        "
"
Budget:$32,000,000
            (estimated)
","
Opening Weekend USA: $8,774,776,
16 July 1989, Wide Release
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $15,709,385, 7 December 2008
"
"
Opening Weekend: £88,315
            (United Kingdom),
1 November 2002, Limited Release
","
Gross USA: $4,890,878, 23 November 2003
"
"
Cumulative Worldwide Gross: $25,092,802
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend: £124,377
            (United Kingdom),
8 May 2011, Limited Release
","
Gross USA: $802,524, 21 August 2011
"
"
Budget:$70,000,000
            (estimated)
","
Gross USA: $137,355,633
        "
"
Runtime:
93 min
","
Color:
Color
"
"
Opening Weekend: CAD 1,353,024
            (Canada),
8 October 2006
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $921,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$180,000,000
            (estimated)
","
Gross USA: $223,808,164, 8 January 2009
"
"
Gross USA: $15,986,272, 27 April 2014
","
  Show more on
  IMDbPro »
  "
"
Budget:$4,000,000
            (estimated)
","
Production Co:
 Dimension Films, Hellraiser IV Partners, Miramax 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $41,152,203
        "
"
Opening Weekend USA: $1,861,118,
22 July 2016, Limited Release
","
Cumulative Worldwide Gross: $25,733,577, 5 August 2016
"
"
Opening Weekend USA: $509,106,
11 September 1983, Limited Release
","
Production Co:
 Cannon Films 
See more »
      
"
"
Gross USA: $278,821, 19 September 2010
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $7,863,
5 April 2009, Limited Release
","
Production Co:
 Majid Majidi Film Production (I) (II) 
See more »
      
"
"
Gross USA: $136,203
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $36,280,697
        "
"
Budget:$24,000,000
            (estimated)
","
Gross USA: $12,372,410, 21 May 2000
"
"
Opening Weekend USA: $4,104,552,
12 September 2014, Wide Release
","
Production Co:
 Big Screen Productions, Bob Industries, Chernin Entertainment 
See more »
      
"
"
Gross USA: $82,985,708
        ","
Production Co:
 Paramount Pictures, Walden Media, Kerner Entertainment Company 
See more »
      
"
"
Gross USA: $3,916,303
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $15,805,237,
3 November 2013, Wide Release
","
Cumulative Worldwide Gross: $110,387,072
        "
"
Opening Weekend USA: $74,036,787,
29 July 2007, Wide Release
","
Cumulative Worldwide Gross: $526,745,137
        "
"
Budget:$3,200,000
            (estimated)
","
Gross USA: $10,000,000
        "
"
Budget:$2,000,000
            (estimated)
","
Gross USA: $2,557,668, 4 October 2015
"
"
Production Co:
 IRS Media 
See more »
      
","
Runtime:
105 min
"
"
Opening Weekend USA: $13,104,788,
2 July 1995
","
Cumulative Worldwide Gross: $66,433,194
        "
"
Gross USA: $4,264,509
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $67,286,731, 18 July 2004
"
"
Budget:$22,000,000
            (estimated)
","
Gross USA: $26,570,463
        "
"
Budget:$8,000,000
            (estimated)
","
Gross USA: $260,000,000
        "
"
Gross USA: $3,418,141
        ","
  Show more on
  IMDbPro »
  "
"
Budget:INR 450,000,000
            (estimated)
","
Gross USA: $775,981, 1 July 2012
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $1,939,441, 7 July 2013
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $134,506,920
        "
"
Production Co:
 Shin Ei Animation, Fujiko Productions, Shogakukan 
See more »
      
","
Runtime:
95 min
"
"
Opening Weekend USA: $6,130,197,
28 June 1981
","
Production Co:
 Columbia Pictures 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
Opening Weekend USA: $134,400,
11 July 2004, Limited Release
","
Production Co:
 Agi Orsi Productions, Forever Films, Quicksilver Entertainment 
See more »
      
"
"
Opening Weekend USA: $5,610,
15 May 2011, Limited Release
","
Production Co:
 China Film Group Corporation (CFGC), Chuan Films, Jiangsu Broadcasting System 
See more »
      
"
"
Gross USA: $754,935
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $31,649, 22 May 2011
"
"
Budget:$49,000,000
            (estimated)
","
Gross USA: $117,727,000
        "
"
Runtime:
54 min
","
Color:
Color
"
"
Opening Weekend USA: $43,704,
28 March 2004, Limited Release
","
Cumulative Worldwide Gross: $6,089,857, 7 November 2003
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $10,706,786, 17 April 2011
"
"
Budget:£4,500,000
            (estimated)
","
Gross USA: $12,574,715, 2 May 2010
"
"
Gross USA: $638,641, 31 December 1995
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $61,349,
31 March 1995, Limited Release
","
Production Co:
 Touchstone Pictures, Merchant Ivory Productions, Centre National de la Cinématographie (CNC) 
See more »
      
"
"
Budget:$110,000,000
            (estimated)
","
Gross USA: $24,008,137
        "
"
Gross USA: $1,001,437
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $2,223,380, 29 June 2014
"
"
Opening Weekend USA: $2,235,
29 January 2010, Limited Release
","
Production Co:
 Harvard Sensory Ethnography Lab 
See more »
      
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $8,580,410
        "
"
Gross USA: $21,471,047
        ","
Production Co:
 New Line Cinema, Michael Phillips Productions 
See more »
      
"
"
Gross USA: $5,587,855, 8 September 1996
","
  Show more on
  IMDbPro »
  "
"
Runtime:
95 min
","
Color:
Color
(Eastmancolor)    "
"
Opening Weekend USA: $12,191,540,
15 July 1990, Wide Release
","
Cumulative Worldwide Gross: $290,000,000
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $56,398,162, 27 April 2003
"
"
Gross USA: $5,790,448, 9 November 1997
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $3,715,931,
11 May 2014, Wide Release
","
Cumulative Worldwide Gross: $17,001,027
        "
"
Production Co:
 Madhouse, Nippon Television Network (NTV), Kadokawa Shoten Publishing Co. 
See more »
      
","
Runtime:
114 min
"
"
Gross USA: $17,518,220
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 American International Pictures (AIP), Melvin Simon Productions 
See more »
      
","
Runtime:
96 min
"
"
Budget:$19,000,000
            (estimated)
","
Gross USA: $8,402,485, 4 December 2008
"
"
Budget:$18,000,000
            (estimated)
","
Gross USA: $119,938,730
        "
"
Budget:€13,500,000
            (estimated)
","
Opening Weekend USA: $24,220,
18 February 2005, Limited Release
"
"
Budget:$102,000,000
            (estimated)
","
Gross USA: $69,772,969
        "
"
Gross USA: $14,560,084, 31 December 1978
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 M6 Métropole Télévision, TF1, TPS Cinéma 
See more »
      
","
Runtime:
105 min
"
"
Opening Weekend USA: $4,381,000,
24 December 1995, Wide Release
","
Production Co:
 Beckner/Gorman Productions, Canal+, Carolco Pictures 
See more »
      
"
"
Budget:$8,600,000
            (estimated)
","
Gross USA: $4,992,159, 4 April 2004
"
0,0
