budgets,revenues
"
Production Co:
 Cinémaginaire Inc., Alliance Atlantis Vivafilm, Desjardins 
See more »
      
","
Runtime:
124 min
"
"
Opening Weekend USA: $14,033,112,
4 November 2001, Wide Release
","
Cumulative Worldwide Gross: $59,249,294, 31 December 2002
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $97,104,620, 28 July 2012
"
"
Gross USA: $14,200,000, 31 December 1975
","
  Show more on
  IMDbPro »
  "
"
Budget:$21,500,000
            (estimated)
","
Gross USA: $2,280,004, 9 March 2017
"
"
Gross USA: $426,318
        ","
Production Co:
 United Seven Combines, Venus Records & Tapes 
See more »
      
"
"
Budget:$8,500,000
            (estimated)
","
Gross USA: $140,244, 7 December 2008
"
"
Budget:€103,000
            (estimated)
","
Gross USA: $21,932, 23 June 2013
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $67,544,505
        "
"
Budget:$3,500,000
            (estimated)
","
Gross USA: $20,811,365
        "
"
Production Co:
 Bigelow Productions, Silver Screen Partners III, Touchstone Pictures 
See more »
      
","
Runtime:
96 min
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $26,536,120, 4 May 2003
"
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $31,886,361
        "
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $76,471,046
        "
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $256,386,216, 6 April 2008
"
"
Gross USA: $44,680,473, 31 December 1974
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $697,181, 31 July 2005
","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $30,513,940, 12 September 2014
"
"
Opening Weekend USA: $5,738,448,
16 September 2001, Wide Release
","
Production Co:
 Columbia Pictures, Original Film 
See more »
      
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $90,463,534
        "
"
Gross USA: $3,721,911
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $26,516, 5 July 2018
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Andrew Lauren Productions (ALP) 
See more »
      
","
Runtime:
97 min
|
96 min
"
"
Production Co:
 Island Visual Arts, Vivid Productions 
See more »
      
","
Runtime:
87 min
"
"
Opening Weekend USA: $900,902,
6 October 1996, Limited Release
","
Production Co:
 Dino De Laurentiis Company, Spelling Films 
See more »
      
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $31,743,332, 29 November 2009
"
"
Budget:$4,200,000
            (estimated)
","
Opening Weekend USA: $46,730,
3 June 2007, Limited Release
"
"
Production Co:
 Weintraub Entertainment Group, Upstart Productions 
See more »
      
","
Runtime:
90 min
"
"
Gross USA: $17,844,216
        ","
Production Co:
 New Line Cinema, Revolution Studios, Ghoulardi Film Company 
See more »
      
"
"
Budget:$200,000,000
            (estimated)
","
Gross USA: $486,295,561
        "
"
Opening Weekend USA: $1,351,786,
13 August 2006
","
Production Co:
 Dharma Productions, Dillywood 
See more »
      
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $18,317,151, 13 January 2008
"
"
Opening Weekend USA: $7,610,663,
3 May 1998, Wide Release
","
Production Co:
 Touchstone Pictures, 40 Acres & A Mule Filmworks 
See more »
      
"
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $2,077,116, 23 October 2008
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Atmos
(Westrex Recording System)    "
"
Gross USA: $14,056,528
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $7,242,035
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$165,000,000
            (estimated)
","
Gross USA: $183,373,735
        "
"
Gross USA: $121,150, 22 June 2016
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $279,974,
20 December 2015, Limited Release
","
Cumulative Worldwide Gross: $259,361,762
        "
"
Production Co:
 Basara Pictures, Imagica, Asmik Ace Entertainment 
See more »
      
","
Runtime:
96 min
"
"
Cumulative Worldwide Gross: $11,148,828, 31 December 1983
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Stereo
"
"
Budget:$1,500,000
            (estimated)
","
Gross USA: $187,716
        "
"
Aspect Ratio: 1.33 : 1
    ",0
"
Production Co:
 Warner Bros., Transatlantic Pictures 
See more »
      
","
Runtime:
80 min
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $46,752,382
        "
"
Opening Weekend USA: $20,828,
12 April 2015, Limited Release
","
Production Co:
 Bold Films, Marc Platt Productions, Phantasma 
See more »
      
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $24,984,868, 17 October 2014
"
"
Budget:SEK 22,000,000
            (estimated)
","
Production Co:
 Memfis Film, Film i Väst, Nordisk Film- & TV-Fond 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $9,109,322, 3 October 2004
"
"
Gross USA: $47,285,152
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $679,160,
17 June 2011, Wide Release
","
Production Co:
 Goldcrest Pictures, Mint Pictures, Island Bound Productions 
See more »
      
"
"
Cumulative Worldwide Gross: $12,620,737, 31 December 2004
","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $38,432,823, 22 October 2006
"
"
Budget:£960,000
            (estimated)
","
Opening Weekend USA: $143,321,
7 March 1999, Limited Release
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $68,915,888
        "
"
Production Co:
 Naked City Films, PF Pictures 
See more »
      
","
Runtime:
73 min
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $26,494,611, 16 May 1999
"
"
Gross USA: $156,166, 11 October 2015
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $1,129,689,
27 August 1993, Wide Release
","
Production Co:
 Filmauro, International Traders, United Artists 
See more »
      
"
"
Budget:HUF 953,000,000
            (estimated)
","
Opening Weekend USA: $4,193,
29 August 2014, Limited Release
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $75,782,105
        "
"
Opening Weekend USA: $22,298,
14 November 1982, Limited Release
","
Production Co:
 Sandcastle 5 Productions, Viacom Enterprises 
See more »
      
"
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $16,574,731, 27 September 1998
"
"
Opening Weekend USA: $1,864,852,
7 November 1982, Limited Release
","
Production Co:
 HandMade Films 
See more »
      
"
"
Opening Weekend USA: $20,038,573,
22 November 1998, Wide Release
","
Cumulative Worldwide Gross: $250,649,836
        "
"
Production Co:
 Nord-Ouest Films, Canal+, Ciné+ 
See more »
      
","
Runtime:
98 min
"
"
Opening Weekend USA: $92,254,
19 July 1996
","
Cumulative Worldwide Gross: $106,269,971
        "
"
Opening Weekend USA: $28,916,
19 September 2010, Limited Release
","
Production Co:
 Big Beach Films, Cooper's Town Productions, Labyrinth Theater Company 
See more »
      
"
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $47,748,610, 15 February 1998
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $15,000,994, 14 August 2011
"
"
Gross USA: $221,295
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $18,383,507,
7 March 1999, Wide Release
","
Cumulative Worldwide Gross: $176,885,658
        "
"
Opening Weekend USA: $328,000,
6 May 2007, Limited Release
","
Production Co:
 Snoopadelic Films Inc., Social Capital, BloodWorks 
See more »
      
"
"
Budget:$13,500,000
            (estimated)
","
Gross USA: $7,060,876, 29 April 2001
"
"
Opening Weekend USA: $83,574,
2 April 2006
","
Production Co:
 Bergman Lustig Productions 
See more »
      
"
"
Color:
Color
",0
"
Gross USA: $64,431,625
        ","
Production Co:
 Gordon Company 
See more »
      
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $63,686,397
        "
"
Opening Weekend USA: $3,102,191,
3 October 1999, Wide Release
","
Production Co:
 Baldwin/Cohen Productions, Hollywood Pictures, Rocking Chair Productions 
See more »
      
"
"
Opening Weekend USA: $19,112,404,
4 November 2001, Wide Release
","
Cumulative Worldwide Gross: $28,783,380
        "
"
Production Co:
 Jack Rollins & Charles H. Joffe Productions, Orion Pictures 
See more »
      
","
Runtime:
79 min
"
"
Opening Weekend USA: $7,318,878,
13 December 1987, Wide Release
","
Production Co:
 Orion Pictures 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
DTS
| Dolby Digital
| SDDS
"
"
Opening Weekend USA: $1,443,809,
5 December 2010, Limited Release
","
Cumulative Worldwide Gross: $329,398,046
        "
"
Budget:$8,500,000
            (estimated)
","
Gross USA: $19,985,196, 25 November 2016
"
"
Opening Weekend: £1,932,812
            (United Kingdom),
2 January 1998, Limited Release
","
Gross USA: $29,342,592
        "
"
Opening Weekend USA: $6,011,695,
15 July 1984, Wide Release
","
Production Co:
 Lorimar Film Entertainment, Universal Pictures 
See more »
      
"
"
Production Co:
 Bandai Visual Company, Chiyoko Commitee, Genco 
See more »
      
","
Runtime:
87 min
"
"
Budget:$177,200,000
            (estimated)
","
Gross USA: $41,189,488
        "
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $176,040,665
        "
"
Gross USA: $29,756, 21 February 2016
","
  Show more on
  IMDbPro »
  "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $28,031,250, 27 November 2005
"
"
Budget:$1,000,000
            (estimated)
","
Gross USA: $32,482,090, 24 May 2015
"
"
Opening Weekend USA: $51,712,
27 January 2008, Limited Release
","
Production Co:
 Mobra Films, Centrul National al Cinematografiei (CNC), Mindshare Media 
See more »
      
"
"
Opening Weekend USA: $597,273,
26 July 1996
","
Production Co:
 Walt Disney Pictures, City Dogs Productions 
See more »
      
"
"
Opening Weekend USA: $6,100,010,
21 June 2015, Wide Release
","
Production Co:
 i am OTHER, Forest Whitaker's Significant Productions, Revolt Films 
See more »
      
"
"
Budget:$102,000,000
            (estimated)
","
Gross USA: $27,108,272, 7 July 2013
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $17,480,890
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $30,354,442
        "
"
Sound Mix:
Stereo
","
Aspect Ratio: 1.85 : 1
    "
"
Gross USA: $22,424,195
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $40,168,080, 21 March 2010
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $191,719,337
        "
"
Budget:$70,000,000
            (estimated)
","
Gross USA: $48,475,290
        "
"
Opening Weekend USA: $6,894,814,
12 December 2014, Wide Release
","
Production Co:
 IAC Films, Jax Media 
See more »
      
"
"
Gross USA: $6,166,819
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $47,059,963
        "
"
Budget:$37,000,000
            (estimated)
","
Gross USA: $48,006,503, 22 August 2008
"
"
Opening Weekend USA: $22,058,773,
9 November 1997, Wide Release
","
Cumulative Worldwide Gross: $121,214,377
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
(HD)    "
"
Opening Weekend: $276,742
            (Australia),
18 August 2006, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Budget:$145,000,000
            (estimated)
","
Gross USA: $209,397,903, 12 April 2012
"
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $54,760,791, 14 June 2012
"
"
Production Co:
 Palomar Pictures International, Kingston Film Productions Ltd., Central Cinema Company Film (CCC) 
See more »
      
","
Runtime:
113 min
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
DTS
(5.1 surround)    "
"
Production Co:
 Granart Company, Universal International Pictures (UI) 
See more »
      
","
Runtime:
124 min
|
120 min
            (Ontario)
    "
"
Gross USA: $5,000,000, 31 December 1940
","
Production Co:
 Charles Chaplin Productions, One Production Company 
See more »
      
"
"
Opening Weekend USA: $5,651,990,
26 July 1987, Wide Release
","
Production Co:
 Columbia Pictures, New Visions 
See more »
      
"
"
Opening Weekend USA: $273,170,
6 October 2000
","
Cumulative Worldwide Gross: $60,829,844
        "
"
Gross USA: $378,667, 7 May 2000
","
  Show more on
  IMDbPro »
  "
"
Budget:$45,000,000
            (estimated)
","
Opening Weekend USA: $143,818,
21 December 2012, Limited Release
"
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $6,241,697, 5 September 1999
"
"
Production Co:
 American Filmworks, Lorimar Productions 
See more »
      
","
Runtime:
103 min
"
"
Budget:$10,000,000
            (estimated)
","
Production Co:
 Delphi III Productions, Motown Productions 
See more »
      
"
"
Budget:$4,000,000
            (estimated)
","
Gross USA: $30,471,420, 31 December 1979
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $84,525,432
        "
0,0
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $71,038,190
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $33,519,628
        "
"
Opening Weekend USA: $5,274,306,
29 June 1986
","
Production Co:
 Touchstone Pictures, Silver Screen Partners II, Zucker Brothers Productions 
See more »
      
"
"
Opening Weekend USA: $372,920,
27 May 2011, Limited Release
","
Cumulative Worldwide Gross: $54,303,319, 27 October 2011
"
"
Budget:$41,300,000
            (estimated)
","
Gross USA: $57,262,492
        "
"
Budget:$4,900,000
            (estimated)
","
Gross USA: $67,268,835
        "
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $141,600,000
        "
"
Opening Weekend USA: $6,920,
8 April 2011, Limited Release
","
Production Co:
 NALA Films, Polymorphic Pictures 
See more »
      
"
"
Budget:$27,000,000
            (estimated)
","
Gross USA: $14,202,899
        "
"
Opening Weekend USA: $57,000,
25 December 2005, Limited Release
","
Cumulative Worldwide Gross: $30,536,013, 6 June 2013
"
"
Production Co:
 Svenska Filminstitutet (SFI), Argos Films, Film Four International 
See more »
      
","
Runtime:
149 min
"
"
Budget:$8,500,000
            (estimated)
","
Gross USA: $1,109,199, 15 August 2014
"
"
Opening Weekend USA: $37,997,
18 March 1994, Limited Release
","
Production Co:
 Canal+, Columbia Pictures, Les Films Alain Sarde 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
| Dolby
(Dolby 5.1)    "
"
Gross USA: $19,516,000
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $1,081,957, 31 May 1998
","
  Show more on
  IMDbPro »
  "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $13,657,115, 3 November 2011
"
"
Production Co:
 Pickford Corporation 
See more »
      
","
Runtime:
110 min
            (Ontario)
    "
"
Opening Weekend USA: $503,936,
17 January 1994, Limited Release
","
Production Co:
 21st Century Films, Death Wish 5 Productions 
See more »
      
"
"
Gross USA: $4,000,000, 31 December 1962
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $12,046,179,
21 April 1989, Wide Release
","
Production Co:
 Paramount Pictures, Laurel Productions 
See more »
      
"
"
Gross USA: $11,492,915
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $6,583,000,
30 August 1992, Wide Release
","
Production Co:
 Paramount Pictures, Columbus Circle Films 
See more »
      
"
0,0
"
Opening Weekend USA: $11,332,
10 November 1985, Limited Release
","
Cumulative Worldwide Gross: $1,272,637
        "
"
Budget:$4,500,000
            (estimated)
","
Gross USA: $2,625,803, 15 June 2014
"
"
Opening Weekend USA: $15,833,592,
4 October 1998, Wide Release
","
Cumulative Worldwide Gross: $71,485,043
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $57,744,720
        "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $13,555,988, 3 December 2000
"
"
Opening Weekend USA: $8,724,452,
26 February 1993
","
Production Co:
 Alcor Films, Canal+, Regency Enterprises 
See more »
      
"
"
Budget:$500,000
            (estimated)
","
Gross USA: $33,456,317
        "
"
Gross USA: $76,657,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$10,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $1,526,098,
31 March 1985, Limited Release
","
Production Co:
 Orion Pictures 
See more »
      
"
"
Gross USA: $11,000,000, 31 December 1980
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Atresmedia Cine, Atresmedia, Atípica Films 
See more »
      
","
Runtime:
123 min
"
"
Gross USA: $192,816
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$35,000,000
            (estimated)
","
Opening Weekend USA: $160,069,
20 December 2009, Limited Release
"
"
Gross USA: $6,892,098
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $34,742,066, 1 June 2006
"
"
Opening Weekend USA: $3,986,269,
25 July 1999, Wide Release
","
Production Co:
 New Line Cinema, Capella International, KC Medien 
See more »
      
"
"
Budget:$8,000,000
            (estimated)
","
Production Co:
 New Line Cinema, Shane Productions 
See more »
      
"
"
Budget:$38,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $72,006,777
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $17,292,381, 24 February 2002
"
"
Production Co:
 Gramercy Pictures (I), MVP Films, Polygram Filmed Entertainment 
See more »
      
","
Sound Mix:
Dolby SR
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $91,047,077
        "
"
Sound Mix:
Dolby Digital
","
Aspect Ratio: 1.85 : 1
    "
"
Production Co:
 Raajkamal Films International, PVP Cinema 
See more »
      
","
Runtime:
148 min
"
"
Opening Weekend USA: $4,278,452,
30 May 1999, Wide Release
","
Production Co:
 Columbia Pictures, Centropolis Film Productions 
See more »
      
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $57,059,003
        "
"
Opening Weekend USA: $216,166,
15 November 1981
","
Production Co:
 Barclays Mercantile Industrial Finance 
See more »
      
"
"
Budget:$43,000,000
            (estimated)
","
Gross USA: $24,718,164
        "
"
Gross USA: $49,601
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $7,766,452,
12 April 1987, Wide Release
","
Cumulative Worldwide Gross: $110,996,879
        "
"
Production Co:
 Shine Pictures, Kudos Film and Television, Pinewood Pictures 
See more »
      
","
Runtime:
104 min
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $26,384,681, 2 October 2016
"
"
Opening Weekend USA: $8,045,760,
19 March 1989
","
Cumulative Worldwide Gross: $39,450,960, 31 December 1989
"
"
Opening Weekend USA: $84,137,
5 September 1994, Limited Release
","
Production Co:
 Nelson Entertainment 
See more »
      
"
"
Opening Weekend USA: $29,170,
22 August 2004, Limited Release
","
Production Co:
 Whitewater Films 
See more »
      
"
"
Opening Weekend USA: $1,212,189,
30 March 1997, Wide Release
","
Production Co:
 David Kirschner Productions, Turner Feature Animation, Turner Pictures (I) 
See more »
      
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $32,721,635, 10 May 2009
"
"
Production Co:
 A Bad Way Ltd., Kudos Productions Ltd., Little Wing Films 
See more »
      
","
Runtime:
96 min
"
"
Gross USA: $19,377,727, 19 February 2006
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $9,838,
5 February 2012, Limited Release
","
Production Co:
 Warp X, Rook Films 
See more »
      
"
"
Runtime:
117 min
","
Color:
Color
"
"
Opening Weekend USA: $50,198,902,
2 April 2017, Wide Release
","
Cumulative Worldwide Gross: $527,965,936
        "
"
Gross USA: $40,158,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$19,000,000
            (estimated)
","
Gross USA: $157,019,771
        "
"
Opening Weekend USA: $274,815,
3 February 1991, Limited Release
","
Production Co:
 Cinemarque Entertainment, New World Pictures 
See more »
      
"
"
Opening Weekend USA: $7,649,752,
15 December 1996, Wide Release
","
Production Co:
 Mundy Lane Entertainment, Parkway Productions, The Samuel Goldwyn Company 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Opening Weekend USA: $13,043,310,
20 March 2011, Wide Release
"
"
Gross USA: $11,657,385
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Emmett/Furla/Oasis Films (EFO Films), Twirly Films Limited, Aperture Entertainment 
See more »
      
","
Runtime:
92 min
"
"
Budget:$245,000,000
            (estimated)
","
Gross USA: $200,074,175
        "
"
Opening Weekend USA: $329,011,
10 June 2001, Limited Release
","
Cumulative Worldwide Gross: $186,053,000
        "
"
Budget:$92,000,000
            (estimated)
","
Gross USA: $261,441,092, 14 April 2005
"
"
Budget:$90,000,000
            (estimated)
","
Gross USA: $93,432,655
        "
"
Opening Weekend USA: $12,172,
31 August 2008, Limited Release
","
Production Co:
 A-Team, Dentsu, Geneon Entertainment 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Opening Weekend USA: $269,225,
10 April 2005, Limited Release
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $40,905,277, 30 November 2003
"
"
Budget:$22,000,000
            (estimated)
","
Gross USA: $33,313,582, 13 December 2009
"
"
Gross USA: $637,769, 8 April 2001
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $9,101,987,
25 August 1996, Wide Release
","
Cumulative Worldwide Gross: $42,000,000
        "
"
Gross USA: $2,003,822
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$63,000,000
            (estimated)
","
Gross USA: $53,715,611
        "
"
Opening Weekend USA: $898,013,
12 May 2017, Limited Release
","
Production Co:
 Amazon Studios, Big Indie Pictures, Picrow 
See more »
      
"
"
Budget:$3,000,000
            (estimated)
","
Gross USA: $707,481
        "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $17,737,646
        "
"
Opening Weekend USA: $45,900,
18 October 1987, Limited Release
","
Production Co:
 Golan-Globus Productions, Zoetrope Studios 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $22,905,674, 8 November 1998
"
"
Opening Weekend USA: $12,519,
20 March 2016, Limited Release
","
Production Co:
 El Deseo, Instituto Nacional de Cine y Artes Audiovisuales (INCAA), Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA) 
See more »
      
"
"
Opening Weekend USA: $5,557,590,
5 June 1994, Wide Release
","
Production Co:
 Cinergi Pictures Entertainment, Parkway Productions, Touchstone Pictures 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $41,675,994, 22 May 2003
"
"
Opening Weekend USA: $16,427,
19 August 2012, Limited Release
","
Production Co:
 Bad Cop Bad Cop Film Productions, Dogfish Pictures, Muskat Filmed Properties 
See more »
      
"
"
Runtime:
80 min
","
Color:
 Black and White
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Opening Weekend USA: $19,452,
27 December 2009, Limited Release
","
Production Co:
 42 Km Film, Periscop Film, Racova 
See more »
      
"
"
Opening Weekend USA: $5,612,095,
13 October 1996, Wide Release
","
Cumulative Worldwide Gross: $7,989,000
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $27,073,640
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $11,990,401
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $71,509,363
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $45,710,178
        "
"
Budget:$225,000
            (estimated)
","
Gross USA: $1,109,276, 31 July 2012
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $25,464,480, 1 January 2010
"
"
Budget:$250,000,000
            (estimated)
","
Gross USA: $459,005,868
        "
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $18,564,613
        "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $1,206,135, 10 May 2015
"
"
Opening Weekend USA: $13,931,285,
8 November 1998, Wide Release
","
Cumulative Worldwide Gross: $116,672,912
        "
"
Gross USA: $6,700,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $105,960,
10 June 2012, Limited Release
","
Cumulative Worldwide Gross: $1,105,020, 29 September 2013
"
"
Budget:$20,000,000
            (estimated)
","
Production Co:
 United Artists, Suftley 
See more »
      
"
"
Opening Weekend USA: $5,072,346,
9 June 1996
","
Production Co:
 Paramount Pictures, The Ladd Company, Boam Productions 
See more »
      
"
"
Budget:$82,000,000
            (estimated)
","
Gross USA: $158,119,460, 6 October 2005
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $32,003,620, 12 December 2004
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
DTS
| DTS-Stereo
| Dolby SR
"
"
Opening Weekend USA: $7,560,
11 April 1999, Limited Release
","
Production Co:
 Short Fuse Films, Next Wave Films 
See more »
      
"
"
Budget:$48,000,000
            (estimated)
","
Gross USA: $37,562,568
        "
"
Budget:$36,000,000
            (estimated)
","
Gross USA: $71,756,802
        "
"
Opening Weekend USA: $4,519,706,
12 April 1981, Wide Release
","
Production Co:
 Orion Pictures 
See more »
      
"
"
Budget:$10,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$17,000
            (estimated)
","
Gross USA: $167,242, 6 November 2011
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $94,835,059
        "
"
Gross USA: $1,337,274, 27 January 1985
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $29,231,
28 February 2014, Limited Release
","
Production Co:
 Cinedigm Entertainment Group, Red Granite International, TinRes Entertainment 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $50,572,589
        "
"
Opening Weekend USA: $2,220,050,
19 November 2006, Wide Release
","
Production Co:
 Carsey-Werner Company, Strike Entertainment 
See more »
      
"
"
Budget:$115,000,000
            (estimated)
","
Gross USA: $40,914,068
        "
"
Budget:$68,000,000
            (estimated)
","
Gross USA: $81,476,385
        "
"
Budget:$8,500,000
            (estimated)
","
Gross USA: $34,017,854, 10 May 2015
"
"
Budget:CAD 17,000,000
            (estimated)
","
Gross USA: $4,068,087, 11 April 2004
"
"
Opening Weekend USA: $23,456,
17 April 2011, Limited Release
","
Production Co:
 Paradis Films, StudioCanal, France 2 Cinéma 
See more »
      
"
"
Production Co:
 Seven Arts Productions 
See more »
      
","
Runtime:
125 min
|
120 min
            (DVD)
    "
"
Opening Weekend USA: $51,233,
8 July 2007, Limited Release
","
Production Co:
 ATO Pictures 
See more »
      
"
"
Budget:$70,000,000
            (estimated)
","
Gross USA: $52,474,616, 19 December 2010
"
"
Opening Weekend USA: $11,014,657,
22 April 2007, Wide Release
","
Cumulative Worldwide Gross: $91,354,215
        "
"
Sound Mix:
Dolby Stereo
","
Trivia
    The only feature film directed by Roy London.        See more  »
    "
"
Budget:$100,000,000
            (estimated)
","
Opening Weekend USA: $88,357,488,
17 November 2002, Wide Release
"
"
Opening Weekend USA: $9,537,123,
14 July 2002, Wide Release
","
Production Co:
 Metro-Goldwyn-Mayer (MGM), The Best Picture Show Company, Cheyenne Enterprises 
See more »
      
"
"
Opening Weekend USA: $312,528,
18 July 2012, Limited Release
","
Cumulative Worldwide Gross: $2,041,928, 12 August 2012
"
"
Budget:$8,000,000
            (estimated)
","
Gross USA: $2,275,557
        "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $63,946,815
        "
"
Opening Weekend USA: $878,938,
28 May 2006
","
  Show more on
  IMDbPro »
  "
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $70,136,369
        "
"
Production Co:
 Nest Family Entertainment, Rich Animation Studios 
See more »
      
","
Sound Mix:
DTS
| Dolby
"
"
Production Co:
 Neue Road Movies, Montauk Productions, Göta Film 
See more »
      
","
Runtime:
118 min
"
"
Budget:$11,500,000
            (estimated)
","
Gross USA: $3,045, 21 December 2008
"
"
Budget:HUF 700,000,000
            (estimated)
","
Opening Weekend USA: $16,139,
29 March 2015, Limited Release
"
